Clima,Conocimiento_sobre_plantas,Especie_planta,Mantiene_Planta_Tóxica,Tiempo_de_dedicacion,Preferencia_tonos,Tipo_vivienda,Toxic_Yes
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Planta de araña,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Tengo nociones básicas,Philodendron,Sí,Les hago bastante caso,Me es indiferente,Adosado,1.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Nada,Espatifilo,No,Todos los días compruebo su estado,Cálidos,Chalet,0.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Nada,Costilla de Adán,No,Todos los días compruebo su estado,Cálidos,Chalet,0.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Nada,Ficus lyrata,No,Todos los días compruebo su estado,Cálidos,Chalet,0.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Nada,Orquídea phalaenopsis,No,Todos los días compruebo su estado,Cálidos,Chalet,0.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Nada,Lavanda,No,Todos los días compruebo su estado,Cálidos,Chalet,0.0
"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",Nada,Geranio,No,Todos los días compruebo su estado,Cálidos,Chalet,0.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Cinta,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Espatifilo,Sí,La verdad que no,Fríos,Apartamento,1.0
